reviewid,reviewtext,sentiment
3010171,归元寺每年都会又庙会，那时去求佛，很灵！一定要早去，争取烧到头香！,1
3015164,商业氛围太浓重了，这里不是个礼佛的好地方,0
3019655,东湖太大了，如果在武汉就呆两天的话，很难体验到它悠然闲在的乐趣，我准备明年五月再游东湖，带上钓鱼竿和吊床和一本好书。,1
3027637,有山有水，环境优美，空气清新，自备干粮，一天足够！！,1
3034082,淡季去的话这里的确没什么看的，很多景点都没开放。而且收门票地方太多也比较贵，,0
3034944,去了两次了！喜欢了解历史文化的朋友可以去看看，现在是免费了。,1
3039093,樱花盛开的季节赏樱花，没有樱花的季节，那些建筑也是风景。校园本身就是在山上东湖边，依山傍水，莘莘学子，青青校园，加上那一系列的学术成就，第一次到武汉，一定要到武大；再来的，再去看看也必须。,1
3056466,最近一次去是在去年的10月，过生日的时候正好到武汉，所以就来了这里。10几年前，我无意的一句话。没想到出门就应验了，我在弥勒佛面前说：“要是真灵，就出门下雨。”谁想，一出门，8月的武汉，出着太阳就开始下雨。我当时就惊呆了。所以这次来到武汉，一定要去归元寺。也许是小时候对那里没什么印象，这次去感觉很一般啊，也许是在北京看多了这样那样的寺，所以进了归元寺感觉杂乱无章，后面那个观音像也没有传说中的那么好，背景都是电线，楼房什么的。或许真的是我对它的期望太高了。,0
3056807,"以前在武汉的时候,每逢休息觉得无聊的时候就喜欢去博物馆转转看累了就坐在椅子上休息一会儿继续看元代青花四爱梅瓶、越王勾践剑、郧县人头盖骨很是值得大家去观赏的也很喜欢曾侯乙墓出土的所有文物大家有时候可以去参观一下对于第一次去的人需要提醒一下可不要穿人字托去哦那样门口的保安会把你拦下的",1
3076568,东湖太美了，值得大家一看，爬爬磨山，泛舟湖上，很惬意！湖上的快艇是否可以组织一下，为旅游者提供方便，而不是漫天的要价和违章驾驶。,1
3088469,这是很宏伟的博物馆，收藏了很多湖北省挖出来的古物，也不要门票，如果去东湖玩的话可以顺便去下博物馆,1
3088472,这里感觉跟上海的南京路步行街像极了，但区别是，江汉路步行街的大商场一楼都有很多很多小吃，还有沃尔玛超市，总之边逛边吃，感觉很好！,1
3088958,上月中去东湖磨山的梅园看梅花，发觉那个梅园原来是那么大那么漂亮，里面种满了梅花树，有很多品种，梅花正值盛开的时候，看得我真的是心花怒放。武汉的梅园很值得去。,1
3147454,初二去的，门票20。我不太喜欢，但里面有500罗汉的塑像，的确是值得看看；但单就寺庙来说，觉得办得不好：1，好几个殿正在修缮，没办法进去；2，寺里弄得像庙会一样，玉/符/红色的祈福带……太乱了；3，宗教的氛围不是很浓，很难看到和尚，全是游客；4，寺里像庙会，寺外也是佛教用品一条街，N个人跑上前找我算命，最雷的是佛教用品一条街的有N多个小摊卖烤肉串，可见参观的人多，敬佛的人少寺里有卖明信片的，15元一张，工作人员说写好后，投进邮筒，会找方丈统一开光再发出，明信片外面是方丈法师的像片,0
3155106,磨山景区三面环水，犹如一座美丽的半岛，绿化很好，大树参天、林荫茂盛，三四月晴空万里的天气去踏青春游很不错！空气清新、山不高而秀雅、水不深而澄清，樱花园都是近几年人工所值，多是晚樱，不尽如人意！杜鹃园的杜鹃很艳丽，出来后的草地绿荫坪适合学生户外交谊聚会。林荫道蜿蜒曲折、并不陡峭，两边枯藤老树的意境。老年人活动活动筋骨很是不错！与梅花园、东湖樱花园毗邻确要各自独立收费，然后山上的楚才园、楚城、集市都是人工造景，个人不看好！尤其那个刘备郊天坛浓厚的穿凿附会之感！总之磨山是个自然原生态气息浓厚的景区，硬是要挖掘些牵强的历史文化的东西感觉名不副实！！！有些弄巧成拙！！！要感受楚文化就该去省博！门票偏贵，进去了之后小景点还要另外收费！整体性价比低于听涛景区，不仅免费、风景又好，历史文化气息浓厚多了，是武汉三镇难得的物外桃源。tobehonest，工薪族还是可以去看看！武汉本市的市民和学生特别值得去，半个年票也才学生证半价的费用，老年人也不错！确实是亲水、散心、天然氧吧于一体的去处！,1
3172444,武汉的湖本来就比较多，东湖为武汉的城市优美度加了不少分。位于武汉市城区的内环与中环之间，是中国最大的城中湖。,1
3185881,这里还不错哦，特别是罗记的西安肉夹馍，以前在武汉上大学就开始在这里吃了，毕业工作都五年了，味道还是那么好，实在美味的小吃不多了呀，别的都没有这么好，火烤的饼也好吃，每次去都会去的。罗记的肉夹馍真不错，还有糊汤粉，鱿鱼都不错，就是不虚此行！,1
3186472,地方是个好地方，但是为了地铁，从2008年拆除到现在2013年，这5年还弄不好一个广场！十分怀疑武汉市政府的办事效率,0
3203361,内容比较丰富，设施很齐全很人性化，是免费的。对楚文化感兴趣的人一定要去看看。,1
3203367,不错的建筑，购物的天堂，有外域的风格。尽头就是长江,1
3239891,明明只要10块为什么总是要多收钱呐？,0
3242970,这好像是新中国造的第一个大桥了，造型比较漂亮，每天有不少外地的人来拍照的江岸的风很凉爽。,1
3242989,武汉动物园很大，环境真不错，好大，动物很多，还有表演看，不过没看成。湖好大，很多人划船，风景好，还有演出，里面的锦鲤园很美,1
3243015,"现在进博物院比以前最大的好处就是免费，领取劵进博物院。主要是玉石展览。如意很美,还有各种笔筒。各种瓷器。挺不错的博物馆，展品比较丰富，结构也比较合理",1
3247115,九峰森林动物园前去游玩以后给我留下的最深刻的印象不是里面种类繁多的动物而是搞的各种互动的活动，把游客很好的组织了起来感受动物园的热情,1
3253425,这里确实不像什么食街之类的，就那么几间食店，太糟糕了。,0
3267474,5年前昙华林，感觉还是很冷清的，就是一些画画的人会去，现在两边开满了那些所谓小清新的店，感觉变差,0
3274408,东湖真的是相当大啊！东湖似乎成了衡量武汉雨水的一种标志。每次下雨都要说，武汉这次又下了几个东湖！个人觉得还是等樱花绽放的季节再去吧，那里的樱花比武大的樱花差不到哪里去哦,1
3274681,在武汉想看恐龙化石麽，去地大博物馆吧！里面有很多种化石，玉石之类的东东，感兴趣的也可以看一下。来这里看恐龙标本和地质标本，换一种方式了解这颗星球。也许会遇见很多小（熊）朋（孩）友（子）。如果你时间很多，还是推荐来看看的。,1
3278632,景色很漂亮，深山幽谷。小溪涓涓，绕溪而行，春夏秋各有一番滋味,1
3278914,这是很有情调的小街，阳光明媚的时候去喝茶逛街真的是太完美了，很多有趣的东西汇聚在这里，不过知道这个地方的人貌似不是很多，所以在这里，往来的人也不是显得特别多，没有很多拥挤的现象，这样让整个人都很自在！现在在武汉坐地铁2号线，到螃蟹甲下，走一小段就可以到！到武汉的游客真的值得去看看，可以感受不一样的风情！,1
3321161,昙华林艺术气氛浓厚，已成为武汉的文青必去之地了，逛逛小街，看看小店，然后找个咖啡馆坐下来享受悠闲时光，很惬意的,1
3321325,小时候的春游圣地啊。来到东湖，怎么能不去趟磨山呢？,1
3347457,这里山清水秀，适合野炊,1
3355745,景点名气大！人多！还有居士过来指点迷津！,1
3362635,特别漂亮、景致的古德寺，还是免费参观的，走进古德寺，特别有一种历史穿越的感觉。,1
3368963,植物园很大，植物种类非常多，不管什么季节去都能欣赏到不同的风景。可以乘坐旅游线路402直达哦，交通还是很方便的,1
3369254,这里是中国历史上第一座能够通火车的桥梁，大桥一段连着龟山，另一端和司门口户部巷项链，徒步走过大桥看看滚滚长江水东流而下，气势磅礴。,1
3389412,木兰天池离武汉市里很近，可以当天去当天回，这里的风光特点与九寨沟有诸多相似之处，它是由“浪漫山水”、“高峡人家”和“森林公园”三大主题景园构成，天然的风景令人惊艳。,1
3389417,武汉植物园在东湖附近，占地面积很大，里面有很多品种，进了植物园，呼吸着新鲜的空气，感觉处处都弥漫着大自然的味道，十分惬意。,1
3389436,节假日及传统节日寺庙的香火很旺盛，归元寺是一个很大的寺庙，是佛教圣地，但烧香的价格很贵，不过多数人以此为信仰，也并不在乎钱的多少，但建议要酌情考虑。,1
3390233,这里是武汉颇具规模的寺庙之一。也是武汉香火很旺盛的寺庙之一。每到逢年过节，里面的香客络绎不绝地来来往往。是一处颇具人文特色的景点。,1
3390420,这里位于武汉市市北区，号称“亚洲第一大江滩”距离江汉路步行街的距离不远，可以沿着江畔散步，也可以眺望对岸的黄鹤楼，颇有趣味。,1
3409831,东湖是来武汉必须要去的一个景点，尤其实在秋天，租个自行车骑行来这里，然后划个小船吹个微风，十分惬意。,1
3424746,这里有着浓厚的历史浑厚感！不觉肃然起敬！,1
3427878,晴川阁气势恢宏，虽然新修复的，但登上阁去可以一览滚滚长江东逝水，还有对面的黄鹤楼，感觉很不错。,1
3430560,坐落汉阳龟山之上，与黄鹤楼隔江相对。幽静清闲，可以看到龟山电视塔。有时间就可以去逛逛！,1
3434163,武汉市博物馆在火车站附近，没有省博物馆那么大，但是里面荆楚文化的部分很不错,1
3434181,宝通禅寺是依山而建的，晚上有灯蛮漂亮的，寺庙祈福的地方,1
3434189,大禹神话园里面有雕像看，还能看到长江大桥,1
3434328,杜莎夫人蜡像馆比上海的小，这种景点就是和假的明星照相，个人不太喜欢，还是喜欢自然的景点多些。,0
3434641,门口标示不很清楚，走过了，里面动物太少了，最多有10几种动物，而且每种就那么一两只，除了狮子老虎比动物园多点，门票却比动物园贵多了，坐车看狮子老虎就是走过场，还20，以前动物园有的时候才7块钱，里面不止一个人说来一次不会来第二次，设施都比较陈旧，什么亲子，农耕都是闹眼子,0
3435338,整体满意，对兰花温室印象尤其深刻。面积也大，适合暖和天气，全家出游。,1
3441257,很有小资情调的地方，一本书，一本咖啡，在沿街的店埔店品偿，这里还有个文华书院，文华书院，由美国圣公会创办于1871年10月20日武昌，初为男童寄宿学校，名叫文惠廉纪念学堂，中文校名为文华书院，英文名BooneMemorialSchool。,1
3441277,我是文史类的研究生，所以对博物馆都特别的有兴趣，我喜欢研究古代的历史，以及各种的工具，书籍，然后进行归类对比，而且武汉省级博物馆也特别的大，东西藏品特别的多，而且是免费的参观，看的人也特别的多，我觉的来这里可以学习知识，对自身是一个能力的提高,1
