reviewid,reviewtext,sentiment
3010171,归元寺每年都会又庙会，那时去求佛，很灵！一定要早去，争取烧到头香！,1
3015164,商业氛围太浓重了，这里不是个礼佛的好地方,0
3019655,东湖太大了，如果在武汉就呆两天的话，很难体验到它悠然闲在的乐趣，我准备明年五月再游东湖，带上钓鱼竿和吊床和一本好书。,1
3027637,有山有水，环境优美，空气清新，自备干粮，一天足够！！,1
3031043,虽然是武汉最有名的地方，但太贵了。如果能多送点小模型等当纪念品，或者明信片等效纪念品，那样会比较有人情味。现在这个价格和实际很不符合，有点被人黑的感觉。去国就觉得是个好地方，但不值30块。,0
3034082,淡季去的话这里的确没什么看的，很多景点都没开放。而且收门票地方太多也比较贵，,0
3034944,去了两次了！喜欢了解历史文化的朋友可以去看看，现在是免费了。,1
3035179,"我11月中旬去的时候里面有一座厅堂正在修缮,登后面的洪山宝塔要另交2元.",0
3035285,听都没有听说过，不过这次回家打算去看看。,0
3037059,这次回家特意去了一趟，值得一看。与中原的寺庙很不一样，既有印缅风情，又有欧式特征，是个好地方，而且不要钱！从一条狭窄的巷子走进去，两边是老旧的居民区，突然看到这座寺庙，夕阳斜斜的照下来，映得大殿金灿灿的，感觉非常好。位置也很好找，从161医院左边的巷子进去，步行5分钟就可以了。,0
3039093,樱花盛开的季节赏樱花，没有樱花的季节，那些建筑也是风景。校园本身就是在山上东湖边，依山傍水，莘莘学子，青青校园，加上那一系列的学术成就，第一次到武汉，一定要到武大；再来的，再去看看也必须。,1
3039707,第三套人民币贰角钱上面就有武汉长江大桥,0
3056031,才给了两个星，太少啦！&#x0D;&#x0A;很有异域风情，绝对不虚此行．建筑精美，关键是在别处看不到，独此一家．是我武汉之行感觉最棒的地方．可惜知道这里的人太少了．&#x0D;&#x0A;目前门票２元．院子仍在修缮，但不影响参观正殿．过了五一，门票就是３元了．,0
3056466,最近一次去是在去年的10月，过生日的时候正好到武汉，所以就来了这里。10几年前，我无意的一句话。没想到出门就应验了，我在弥勒佛面前说：“要是真灵，就出门下雨。”谁想，一出门，8月的武汉，出着太阳就开始下雨。我当时就惊呆了。所以这次来到武汉，一定要去归元寺。也许是小时候对那里没什么印象，这次去感觉很一般啊，也许是在北京看多了这样那样的寺，所以进了归元寺感觉杂乱无章，后面那个观音像也没有传说中的那么好，背景都是电线，楼房什么的。或许真的是我对它的期望太高了。,0
3056807,"以前在武汉的时候,每逢休息觉得无聊的时候就喜欢去博物馆转转看累了就坐在椅子上休息一会儿继续看元代青花四爱梅瓶、越王勾践剑、郧县人头盖骨很是值得大家去观赏的也很喜欢曾侯乙墓出土的所有文物大家有时候可以去参观一下对于第一次去的人需要提醒一下可不要穿人字托去哦那样门口的保安会把你拦下的",1
3059087,唐代阎立本绘画石刻观音像非常美，衣带飘飘，不容错过。&#x0D;&#x0A;倒是高大的现代“双面观音”很工艺化。&#x0D;&#x0A;,0
3061841,9点至17点，15点30禁止入场，周一闭馆（除法定假日外），共4层楼，最好请讲解员，但要收费，外国旅游团很多，精彩绝伦，又是避暑场所，隔壁便是湖北艺术馆，免费参观，两馆中间的一条马路可达东湖！,0
3070670,就是一个水库而已，且目前正在整修，水库里的水都放掉了，故累死的上了山后却看不到一点水景，也因此一点都不好看，很失望。&#x0D;&#x0A;道路也不好走，路窄,0
3076568,东湖太美了，值得大家一看，爬爬磨山，泛舟湖上，很惬意！湖上的快艇是否可以组织一下，为旅游者提供方便，而不是漫天的要价和违章驾驶。,1
3082060,磨山风景不错，荡舟湖上感觉很惬意。看着别人开摩托艇，自己也有跃跃欲试的感觉。&#x0D;&#x0A;楚天台要另外收费，不合理。&#x0D;&#x0A;路牌标示也应该更清楚更多一点，找不到下山的路，很纠结。,0
3088469,这是很宏伟的博物馆，收藏了很多湖北省挖出来的古物，也不要门票，如果去东湖玩的话可以顺便去下博物馆,1
3088472,这里感觉跟上海的南京路步行街像极了，但区别是，江汉路步行街的大商场一楼都有很多很多小吃，还有沃尔玛超市，总之边逛边吃，感觉很好！,1
3088958,上月中去东湖磨山的梅园看梅花，发觉那个梅园原来是那么大那么漂亮，里面种满了梅花树，有很多品种，梅花正值盛开的时候，看得我真的是心花怒放。武汉的梅园很值得去。,1
3147454,初二去的，门票20。我不太喜欢，但里面有500罗汉的塑像，的确是值得看看；但单就寺庙来说，觉得办得不好：1，好几个殿正在修缮，没办法进去；2，寺里弄得像庙会一样，玉/符/红色的祈福带……太乱了；3，宗教的氛围不是很浓，很难看到和尚，全是游客；4，寺里像庙会，寺外也是佛教用品一条街，N个人跑上前找我算命，最雷的是佛教用品一条街的有N多个小摊卖烤肉串，可见参观的人多，敬佛的人少寺里有卖明信片的，15元一张，工作人员说写好后，投进邮筒，会找方丈统一开光再发出，明信片外面是方丈法师的像片,0
3155106,磨山景区三面环水，犹如一座美丽的半岛，绿化很好，大树参天、林荫茂盛，三四月晴空万里的天气去踏青春游很不错！空气清新、山不高而秀雅、水不深而澄清，樱花园都是近几年人工所值，多是晚樱，不尽如人意！杜鹃园的杜鹃很艳丽，出来后的草地绿荫坪适合学生户外交谊聚会。林荫道蜿蜒曲折、并不陡峭，两边枯藤老树的意境。老年人活动活动筋骨很是不错！与梅花园、东湖樱花园毗邻确要各自独立收费，然后山上的楚才园、楚城、集市都是人工造景，个人不看好！尤其那个刘备郊天坛浓厚的穿凿附会之感！总之磨山是个自然原生态气息浓厚的景区，硬是要挖掘些牵强的历史文化的东西感觉名不副实！！！有些弄巧成拙！！！要感受楚文化就该去省博！门票偏贵，进去了之后小景点还要另外收费！整体性价比低于听涛景区，不仅免费、风景又好，历史文化气息浓厚多了，是武汉三镇难得的物外桃源。tobehonest，工薪族还是可以去看看！武汉本市的市民和学生特别值得去，半个年票也才学生证半价的费用，老年人也不错！确实是亲水、散心、天然氧吧于一体的去处！,1
3169236,风景：风光秀美、空气清新，是个周末登高、远足的好去处。婆婆树、楚昭王墓别有风味，值得一游。当地民风总体还是比较淳朴的。&#x0A;&#x0A;餐饮：停车场对面的餐馆人气最旺，食材、味道还不错；&#x0A;停车场右手边“随缘酒店”，属于严重无良商家，友情提示：生人勿近。,0
3172444,武汉的湖本来就比较多，东湖为武汉的城市优美度加了不少分。位于武汉市城区的内环与中环之间，是中国最大的城中湖。,1
3175471,一派胡言。里面全是假道士。去年暑假我随旅游团进去参观，导游说没有门票也没有其他费用，但是一位道士领着我们参观了一番，就要我们烧香抽签，然后领着又去解签，一位二十岁左右的所谓道士告诉我们自己是北京莫大学毕业专学佛学，让我们交香火钱300、600、900、1200不等，身临其境被逼无奈交了600元，后来有人说全是骗人的。希望有关部门加以整治，否则没人敢再去那里！,0
3185881,这里还不错哦，特别是罗记的西安肉夹馍，以前在武汉上大学就开始在这里吃了，毕业工作都五年了，味道还是那么好，实在美味的小吃不多了呀，别的都没有这么好，火烤的饼也好吃，每次去都会去的。罗记的肉夹馍真不错，还有糊汤粉，鱿鱼都不错，就是不虚此行！,1
3186472,地方是个好地方，但是为了地铁，从2008年拆除到现在2013年，这5年还弄不好一个广场！十分怀疑武汉市政府的办事效率,0
3193439,宰外地游客的位置。要有被狠宰的觉悟,0
3203361,内容比较丰富，设施很齐全很人性化，是免费的。对楚文化感兴趣的人一定要去看看。,1
3203367,不错的建筑，购物的天堂，有外域的风格。尽头就是长江,1
3239891,明明只要10块为什么总是要多收钱呐？,0
3242970,这好像是新中国造的第一个大桥了，造型比较漂亮，每天有不少外地的人来拍照的江岸的风很凉爽。,1
3242982,归元寺正在修建的圆通阁，全木石结构，甚是美丽壮观。，始建于清朝，还有黎元洪的题字。香火还可以，五百罗汉堂很不错，栩栩如生。还有气势恢宏的观音像和圆通阁。,0
3242989,武汉动物园很大，环境真不错，好大，动物很多，还有表演看，不过没看成。湖好大，很多人划船，风景好，还有演出，里面的锦鲤园很美,1
3243015,"现在进博物院比以前最大的好处就是免费，领取劵进博物院。主要是玉石展览。如意很美,还有各种笔筒。各种瓷器。挺不错的博物馆，展品比较丰富，结构也比较合理",1
3247110,武汉博物馆是我国的4A级景区，展品丰富多样，引人关注，其中以明朝的文人墨客的字画居多,0
3247115,九峰森林动物园前去游玩以后给我留下的最深刻的印象不是里面种类繁多的动物而是搞的各种互动的活动，把游客很好的组织了起来感受动物园的热情,1
3247634,归元寺建于清顺治十五年（公元1658年），与宝通禅寺、古德寺、正觉寺今称为武汉佛教的四大丛林。归元寺之名取佛经“归元性不二，方便有多门”之语意。&#x0A;寺中藏有许多佛教文物，除藏经外，还有佛像、法物、石雕、书画碑帖及外文典籍，是国内收藏佛像最多的佛寺之一~~~,0
3253425,这里确实不像什么食街之类的，就那么几间食店，太糟糕了。,0
3259489,就一个湖，周围什么景点也没有,0
3261204,比起省博物馆来要差的很远了，但是这里也有不少珍贵的文物，毕竟荆楚文化不可小觑。,0
3261391,没有导游的话会觉得这里啥都没有，植被还可以，傻大傻大的，不知道看的是啥。,0
3261437,完全新建的景区，全是没有观赏价值的雕塑，走起来也很累，没什么意思。,0
3266445,以为是一条街，到了后才知道是一片区域，有很多条街，因不买东西，走了一段就后撤了。,0
3267474,5年前昙华林，感觉还是很冷清的，就是一些画画的人会去，现在两边开满了那些所谓小清新的店，感觉变差,0
3268038,平平无奇，不过靠着江，所以看江景还好,0
3268049,严格说不算景点了，就一个城市广场而已，夜景还行。,0
3274003,来了好多次我爹爱瓷器我俗气的爱二楼那些金银珠宝尤其是玉器每次都扒那盯着瞅半天啊(@￣ρ￣@),0
3274408,东湖真的是相当大啊！东湖似乎成了衡量武汉雨水的一种标志。每次下雨都要说，武汉这次又下了几个东湖！个人觉得还是等樱花绽放的季节再去吧，那里的樱花比武大的樱花差不到哪里去哦,1
3274681,在武汉想看恐龙化石麽，去地大博物馆吧！里面有很多种化石，玉石之类的东东，感兴趣的也可以看一下。来这里看恐龙标本和地质标本，换一种方式了解这颗星球。也许会遇见很多小（熊）朋（孩）友（子）。如果你时间很多，还是推荐来看看的。,1
