reviewid,reviewtext,sentiment
2,不知道九品甲哪家店子是主店来着，只知道它在不知不知觉中开了好多家了。螃蟹岬那家开了好多年了，不管是家常菜还是野味口感都还是挺好的。谈不上有什么跟别的店子很大的区别吧。环境有点复古，体验感一般吧。菜的口感也是一般，估计老一辈的应该比较喜欢吃点吧。总体还行。 ,0
2,在螃蟹岬离地铁不远，一家以甲鱼，牛蛙为主菜的地方，就餐在二楼，有几个包房。吃的人不多，感觉没什么人。甲鱼，还有牛蛙都是现杀的，所以要等。秘制甲鱼比普通甲鱼贵，味道还不错，也不辣，份量还行，六个人点了二个锅和几个炒菜。炸豆丝好吃，就是上的太慢了。 ,2
3,店子就在路边一眼就能看到。中午去的，加我们只有2座哦，有小孩就要得不辣的牛蛙套餐。味道很不错，就是感觉分量很少哦。套餐里面没有饮料呢，自己去外面买的。毛豆很老了，不好吃，黄瓜还不错。下次去尝尝甲鱼的套餐 ,0
4,烤鸡翅超级好吃，超级好吃，超级好吃，一定要吃哦 ,2
5,服务态度差，味道也不好，不会再去第二次了 ,0
6,#达哥带我吃天下#来补个点评啦！这家的烧烤味道还不错，金针菇韭菜什么的都特别入味，个人挺喜欢的，就是感觉调料稍微多了点。炒粉挺好吃的，推荐推荐。烤猪蹄好像是招牌，但是感觉味道一般，有点粘牙还是难啃来着。 ,2
7,家常菜，大众口味。藕园子，臭桂鱼味道不错 ,2
8,李记蟹黄汤包馆在荣华街与集贤路交汇的东南边偏东方向地方，有点偏不注意不容易发现。 店面不大，操作间与大堂隔断了！比较卫生。 汤包现蒸，大概十分钟。 汤包好了！先吸汤，再给点姜丝，沾一点醋，真不错的汤包。汤鲜烫口，肉不算特多。鲜肉十五元一笼。 ,2
0,门店很小一不小心就会找不到 特地来吃汤包 准备打包带去吃烧烤 等了21分钟 老板蒸好以后还问我知不知道吃法 然后认真的告诉我怎么吃 超级热情 给我送了灌醋的小勺子 不过打包到烧烤还是破了几个 汤汁很多 皮还是蛮厚的 味道不错 ,2
21,人去了;也不打招呼;;叫半天;还在跟别人聊天;;;服务差评 ,0
22,味道不错，喜欢香菇包，偏辣点～就是豆浆是现打的，大夏天的，太烫了！ ,2
22,同事推荐的，味道很好，口感软软的，蒸后口感还要好些。 ,2
23,呃……园博园里面的大妙，相对江边来说比较有情调一些，因为室外吃火锅真的很舒爽呀。特别在这么热的天，大晚上露天吃火锅，开心到飞起。口味都还不错，但是鸭血为什么突然变成黑色的了？工作人员都解释不了。人均251081的消费，还算不错吧 ,0
24,带着家人周末去园博园逛了逛，那边正好在开音乐节，人好多，好热闹。 逛完出来汉口里找吃的，感觉好多家店面都没开门，不知道是过了饭点还是什么?_? 找到这家小桃园，据说是家老武汉招牌店，店面还比较宽敞，可是点餐要自己去服务台，拿餐也是直接叫号，自己去取。味道一般般，不过他家鸡汤还不错，本想喝排骨汤结果没有换的鸡汤，味道挺鲜的。其他不推荐 ,0
25,[环境]位于园博园旁边，过去的时候下大雨，可以直接从停车场上去，没有淋到雨。有2层楼，我们坐在一楼正好观看表演，变脸节目表演者还会下来跟大家互动，氛围很好。 [服务]服务员也会问下顾客体验如何，对菜品，食材及服务收集反馈，看看如何改进。 调料台的调料较多，还有自助水果。 整体就餐还是觉得不错的。 ,2
26,参加完朋友婚姻过来小聚，我点了个没有喝过的香茅拿铁（图一），有点生姜味，不过还不错，朋友点的不知道忘记了啥，不过杯子到还蛮好看的，但是有两个朋友点的用的一次打包杯，很奇怪，而且也不是因为咖啡品种不同，感觉是随便用的?环境是比较普通的工业风，总体还比较舒适吧~ ,0
27,瓦工在武汉有三家店，在汉口里这家还蛮大的。环境还蛮好，之前周末去过一次，很多人，还有淘宝店铺在那里拍照。咖啡的话，推荐香菜拿铁，澳白。天气适合的时候坐在户外也是不错的选择。另外他们家的甜品相当不错，这次终于吃到哈尼兔啦，超cute！ ,2
28,躲在汉口里的一家咖啡 咖啡品质不错 而且胜在人少环境好 小兔子是香草慕斯蛋糕 下面配的巧克力脆饼 颜值和口味兼备 爱心的树莓芝士蛋糕口感酸甜不腻 能很清晰的感受到口腔中的树莓籽 不过他家的甜品一定要早去 每种都是卖完就没有了 ,2
20,师姑推荐的，果然没错。 这已经是我今年暑假吃的第一顿好吃的烧烤，点的几个菜没有一个踩雷，都不错，生意挺好的，上菜速度也快。 我很喜欢香菇，超好吃。 凤爪也不错，应该每桌必点吧，毕竟是店名[微笑] 推荐推荐！价位也不错 ,2
21,过来很方便，位置就在江岸区花桥二村，过来很方便的，离地铁站赵家条大概21多分钟，这边过来点了这边的特色凤爪王、特色烤粉，田螺等烧烤，口味还可以，但是感觉没有以前的味道好了 ，而且店内还有很多自制的饮品，下一次再过来[微笑][微笑][微笑] ,2
22,不错，经常来这家吃，口味不错，主要是营业时间比较合适。 ,2
22,真的挺好吃的哈哈。来武汉吃的第一顿！有点家里的味道，环境也还可以，装修不错，人挺多的，就是虽然一直开着空调，还是吃着吃着很热，其实也是武汉这天气没办法哈哈。就在住的附近，会经常来吃，因为价钱也刚刚好，不贵好吃分量多！ ,2
23,地址就在江大路，皇冠蛋糕对面，很好找，这家菜馆好像开了很多年了……  属于家常菜吧，我妈很喜欢吃，点的几个菜都属于比较清淡类型的，价格也很便宜实惠……  最喜欢她家的招牌「玛雅人做大虾」比较推荐，下次会来试试别的菜。 ,2
24,位于江大路上的一家玛雅餐厅，菜的味道那是杠杠的，服务也很周到，停车很方便 ,2
25,算比较新的餐厅 还不错 装修还行，菜的味道也还行 ,0
26,味道还不错，包房环境一般，服务太差，上完菜服务员全程就没有进过包房，谈不上服务，服务自助，自己倒盘里的垃圾。 ,0
27,育才一村附近的邻家厨房，店面精致装修风格古典，墙壁上有水墨画，非常雅致干净。萝卜皮酸甜可口，糍粑鱼??内酥里，口味虾，鱼头独特创新，口感非凡。清炒汉菜，也不错。干锅花菜，爆炒花甲，干锅小肥肠，新鲜美味。 ,2
28,位于竹叶山的一家店，位置很好找，在江大路上，交通银行的对面。店面不大，装修应该是统一的，和另一家是差不多的。点的鸡肉面，店员很快就做好了。小小的粉色碗里盛着意面，小块鸡肉，味道还不错。但是分量，确实有点少，想吃饱的话，应该有点难。 ,0
20,之前吃过北湖店的披萨，印象不错，于是看见这个招牌就进去了。店里没有什么人，但是收银小姐姐还是比较礼貌的。 一份番茄意面，份量很少，但是味道还不错。披萨就比较一般了。饼略厚了些，口味也很普通。打包回办公室居然没有一个人想吃。郁闷(╥﹏╥) ,0
31,用团购买的单，很便宜。 意大利面和披萨只要几块钱一份，随便吃吃还是可以的。  地址在江大路和黄孝河路交叉口不远，生意还不错，晚上七点多钟去的，人还蛮多。  服务也还可以，点单出品都挺快的。  意大利面份量不多，你可以当它是快餐，不能以西餐厅意面标准来衡量。性价比挺高的，味道能匹配它的价格。 1,0
32,鱼香肉丝酸酸甜甜的，水煮牛蛙很嫩很香 ,2
32,和同事一起来吃的，这家餐厅非常一般般，菜的味道都比较的重。糖醋里脊的酸甜味很重，吃了两个就感觉很腻了。土豆牛腩，麻婆豆腐还有鱼香肉丝都是用豆瓣酱炒的，有些咸。酸菜鱼的味道也一般般，鱼的味道有点点淡。椒盐玉米的味道还不错。 ,0
33,味道非常好，分量特别多，人也多。 ,2
34,冰粉非常好 但是冒菜就很一般，麻辣烫的口感 建议吃冰粉，分量足，味道美。 ,2
35,菜品非常新鲜 味道十足 麻辣够劲 有空可以去尝尝 ,2
36,味道非常棒，老板非常热情。环境优雅。 ,2
37,不喜欢吃，觉得菜品味道太过普通了，而且装修一点也不雅致 ,0
38,大闸蟹28元每只，很划算。公的有3两母的也有2两多 ,1
30,之前去过2次、还可以吧，这个地方大型餐馆不多，主要做场里的生意、生意蛮好的 ,0
41,是当地连锁经营的店，米酒超级好喝，不醉人的～还断货！去调货来的～冰镇的～烤茄子好吃～点两份的都～还有猪脑！还有烤羊肉串～皮蛋也是特色，其他烤物就这样～听说猪蹄很好吃～^_^我没吃，同事吃了好多块哈哈哈哈哈哈哈 ,2
42,这次来吃点了很多东西 不过感觉没有以前好吃了 可能是生意太好了人太多了为了追求效率无暇顾及味道吧 肉串真的烤的很老很老 被所有人点名批评 肉筋和臭干子以前没点过 这次吃还觉得不错的 凉面一般 有点酸甜口的麻将凉面 还是喜欢吃汤包！ ,2
42,这家之前都是点外卖，这是第一次到店吃。 「烤凤爪」凤爪烤得很糯，很入味，中辣点不得，适合非常能吃辣的朋友，不然还是悠着点微辣算了。 「烤肉串」肉质很嫩，不柴，配上孜然的香味有点像小时候碳烤的味道。 「土豆」土豆片强推，切的厚度适中，有点焦，口感很好。 ,2
43,江堤中路三里坡路第一家，装修不错，古典雅致!，非常好，值得推荐，环境不错，交通方便 ,2
44,口味好，服务好，到位，环境很好！ ,2
45,宵夜来这里！服务到还热情！觉得每一家的烧烤味道都不一样！这家还可以！入味了！ ,2
46,我啥时候吃过这家店，没印象了 ,0
47,味道不错，孩子很喜欢吃购买也很方便服务态度很好，下次还会购买。 ,2
48,菜的品总多味道非常好，环境也不错，服务也非常好，还有优惠活动非常不错！ ,2
40,好吃，不贵，自助不用等，对赶时间的人来说很方便 ,2
51,还不错，和男朋友吃过两次 香 ,2
52,柴火土鸡不新鲜，一股馊味，最后基本没动，但餐厅不承认，没有良心的做法！下次不再来！ ,0
52,小区门口很普通的一家小店，主要是方便小区业主。 ,0
53,"种草很久的一家店终于来拔草了,环境很舒适,口味一般,店员比较热情,价格合理,总之，这是一家日常可以吃吃的店 ",2
54,无意间看到这家店，店虽小不过看着挺干净。老板是个帅气的小伙子，服务很热情，味道不错??????。 ,2
55,酸汤火锅，特别粉丝，各种蔬菜放进去，味道绝了，再蘸点调料，真的巨好吃，巨爽，喜欢番茄锅的朋友 贵州酸汤相当不错啊 ,2
56,好吃，价格还便宜，特棒，莲藕的和糯米的很好吃 ,2
57,专程路过，没有失望，名不虚传。 值得再来！希望店主环境卫生加强点就更好了，毕竟已经进入了垃圾分类时代 ,0
58,这家店离学校很近^o^而且好好吃的说，不过我一般比较懒，都是点的外卖，送外卖的小哥哥换了好几次，但人都非常好的呢！推荐推荐啦，对了，强烈推荐蜜汁烤翅和猪蹄，超级喜欢这两个 ,2
50,味道不错，我最喜欢的茄子是串的而不是整条的，价格挺实惠。 ,2
61,很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好好评 ,2
62,味道一般，实在没吃的会来吧吧。 ,0
62,牛骨汤的味道还可以，其他炒菜也还行。 ,0
63,味道还行吧，也是一家开了很多年的店了！ ,0
64,还不错，大家可以去试试 ,1
