2025-02-27 12:03:12,891 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=1, fusion_type='cat', adv_type='freelb', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature1_fusioncat_advfreelb_20250227120312', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 12:03:21,490 - root - INFO - Epoch 0/10 step 10/610 eta 00:07:36: loss 0.322, train {'accuracy': 0.75, 'f1': 0.75, 'precision': 0.75, 'recall': 0.75}
2025-02-27 12:03:28,030 - root - INFO - Epoch 0/10 step 20/610 eta 00:06:57: loss 0.191, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:03:34,609 - root - INFO - Epoch 0/10 step 30/610 eta 00:06:40: loss 0.180, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:03:41,125 - root - INFO - Epoch 0/10 step 40/610 eta 00:06:28: loss 0.143, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:03:47,652 - root - INFO - Epoch 0/10 step 50/610 eta 00:06:18: loss 0.250, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:03:54,182 - root - INFO - Epoch 0/10 step 60/610 eta 00:06:09: loss 0.161, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:04:33,736 - root - INFO - Epoch 0 step 61: loss 0.670, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:04:40,287 - root - INFO - Epoch 1/10 step 70/610 eta 00:11:06: loss 0.202, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:04:46,778 - root - INFO - Epoch 1/10 step 80/610 eta 00:10:15: loss 0.268, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:04:53,269 - root - INFO - Epoch 1/10 step 90/610 eta 00:09:34: loss 0.165, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:04:59,755 - root - INFO - Epoch 1/10 step 100/610 eta 00:08:59: loss 0.127, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:05:06,268 - root - INFO - Epoch 1/10 step 110/610 eta 00:08:30: loss 0.252, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:05:12,781 - root - INFO - Epoch 1/10 step 120/610 eta 00:08:05: loss 0.161, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:05:53,034 - root - INFO - Epoch 1 step 122: loss 0.549, val {'accuracy': 0.7816, 'f1': 0.692, 'precision': 0.6352, 'recall': 0.7816}
2025-02-27 12:05:58,999 - root - INFO - Epoch 2/10 step 130/610 eta 00:10:09: loss 0.113, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:06:05,533 - root - INFO - Epoch 2/10 step 140/610 eta 00:09:36: loss 0.202, train {'accuracy': 0.8125, 'f1': 0.7844827586206897, 'precision': 0.7583333333333333, 'recall': 0.8125}
2025-02-27 12:06:12,041 - root - INFO - Epoch 2/10 step 150/610 eta 00:09:06: loss 0.139, train {'accuracy': 0.8125, 'f1': 0.7916666666666666, 'precision': 0.775, 'recall': 0.8125}
2025-02-27 12:06:18,537 - root - INFO - Epoch 2/10 step 160/610 eta 00:08:39: loss 0.246, train {'accuracy': 0.6875, 'f1': 0.5817307692307693, 'precision': 0.5041666666666667, 'recall': 0.6875}
2025-02-27 12:06:25,036 - root - INFO - Epoch 2/10 step 170/610 eta 00:08:14: loss 0.182, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:06:31,548 - root - INFO - Epoch 2/10 step 180/610 eta 00:07:52: loss 0.194, train {'accuracy': 0.75, 'f1': 0.6964285714285714, 'precision': 0.65, 'recall': 0.75}
2025-02-27 12:07:12,683 - root - INFO - Epoch 2 step 183: loss 0.408, val {'accuracy': 0.8272, 'f1': 0.7792, 'precision': 0.8188, 'recall': 0.8272}
2025-02-27 12:07:17,996 - root - INFO - Epoch 3/10 step 190/610 eta 00:08:59: loss 0.154, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:07:24,493 - root - INFO - Epoch 3/10 step 200/610 eta 00:08:33: loss 0.038, train {'accuracy': 0.9375, 'f1': 0.9375, 'precision': 0.9375, 'recall': 0.9375}
2025-02-27 12:07:30,988 - root - INFO - Epoch 3/10 step 210/610 eta 00:08:09: loss 0.287, train {'accuracy': 0.5625, 'f1': 0.5630208333333333, 'precision': 0.7784090909090909, 'recall': 0.5625}
2025-02-27 12:07:37,491 - root - INFO - Epoch 3/10 step 220/610 eta 00:07:47: loss 0.083, train {'accuracy': 0.875, 'f1': 0.875, 'precision': 0.875, 'recall': 0.875}
2025-02-27 12:07:43,990 - root - INFO - Epoch 3/10 step 230/610 eta 00:07:26: loss 0.225, train {'accuracy': 0.75, 'f1': 0.8020833333333334, 'precision': 0.8636363636363636, 'recall': 0.75}
2025-02-27 12:07:50,490 - root - INFO - Epoch 3/10 step 240/610 eta 00:07:06: loss 0.091, train {'accuracy': 0.9375, 'f1': 0.9375, 'precision': 0.9375, 'recall': 0.9375}
2025-02-27 12:08:32,243 - root - INFO - Epoch 3 step 244: loss 0.470, val {'accuracy': 0.8187, 'f1': 0.7879, 'precision': 0.8281, 'recall': 0.8187}
2025-02-27 12:08:36,885 - root - INFO - Epoch 4/10 step 250/610 eta 00:07:45: loss 0.115, train {'accuracy': 0.75, 'f1': 0.6927083333333333, 'precision': 0.6442307692307693, 'recall': 0.75}
2025-02-27 12:08:43,381 - root - INFO - Epoch 4/10 step 260/610 eta 00:07:23: loss 0.179, train {'accuracy': 0.8125, 'f1': 0.7885416666666666, 'precision': 0.8004807692307693, 'recall': 0.8125}
2025-02-27 12:08:49,940 - root - INFO - Epoch 4/10 step 270/610 eta 00:07:03: loss 0.093, train {'accuracy': 0.9375, 'f1': 0.907608695652174, 'precision': 0.8802083333333333, 'recall': 0.9375}
2025-02-27 12:08:56,457 - root - INFO - Epoch 4/10 step 280/610 eta 00:06:43: loss 0.116, train {'accuracy': 0.875, 'f1': 0.8645833333333333, 'precision': 0.8942307692307693, 'recall': 0.875}
2025-02-27 12:09:02,981 - root - INFO - Epoch 4/10 step 290/610 eta 00:06:25: loss 0.099, train {'accuracy': 0.875, 'f1': 0.8812500000000001, 'precision': 0.9166666666666666, 'recall': 0.875}
2025-02-27 12:09:09,478 - root - INFO - Epoch 4/10 step 300/610 eta 00:06:07: loss 0.113, train {'accuracy': 0.9375, 'f1': 0.9282407407407407, 'precision': 0.9419642857142857, 'recall': 0.9375}
2025-02-27 12:09:51,785 - root - INFO - Epoch 4 step 305: loss 0.367, val {'accuracy': 0.8559, 'f1': 0.8538, 'precision': 0.8534, 'recall': 0.8559}
2025-02-27 12:09:55,776 - root - INFO - Epoch 5/10 step 310/610 eta 00:06:28: loss 0.046, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:10:02,281 - root - INFO - Epoch 5/10 step 320/610 eta 00:06:10: loss 0.032, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:10:08,778 - root - INFO - Epoch 5/10 step 330/610 eta 00:05:52: loss 0.100, train {'accuracy': 0.9375, 'f1': 0.9284420289855073, 'precision': 0.9427083333333333, 'recall': 0.9375}
2025-02-27 12:10:15,268 - root - INFO - Epoch 5/10 step 340/610 eta 00:05:34: loss 0.069, train {'accuracy': 0.9375, 'f1': 0.9075, 'precision': 0.8798076923076923, 'recall': 0.9375}
2025-02-27 12:10:21,760 - root - INFO - Epoch 5/10 step 350/610 eta 00:05:17: loss 0.055, train {'accuracy': 0.9375, 'f1': 0.9425925925925925, 'precision': 0.9583333333333334, 'recall': 0.9375}
2025-02-27 12:10:28,249 - root - INFO - Epoch 5/10 step 360/610 eta 00:05:01: loss 0.017, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:11,158 - root - INFO - Epoch 5 step 366: loss 0.426, val {'accuracy': 0.8567, 'f1': 0.8561, 'precision': 0.8557, 'recall': 0.8567}
2025-02-27 12:11:14,483 - root - INFO - Epoch 6/10 step 370/610 eta 00:05:11: loss 0.057, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:21,023 - root - INFO - Epoch 6/10 step 380/610 eta 00:04:54: loss 0.005, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:27,519 - root - INFO - Epoch 6/10 step 390/610 eta 00:04:38: loss 0.014, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:34,031 - root - INFO - Epoch 6/10 step 400/610 eta 00:04:22: loss 0.014, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:40,545 - root - INFO - Epoch 6/10 step 410/610 eta 00:04:07: loss 0.003, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:11:47,039 - root - INFO - Epoch 6/10 step 420/610 eta 00:03:52: loss 0.021, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:12:30,738 - root - INFO - Epoch 6 step 427: loss 0.478, val {'accuracy': 0.8511, 'f1': 0.8534, 'precision': 0.8601, 'recall': 0.8511}
2025-02-27 12:12:30,738 - root - INFO - Early Stopping Check: No improvement for 1/3 epochs
2025-02-27 12:12:32,903 - root - INFO - Epoch 7/10 step 430/610 eta 00:03:54: loss 0.014, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
