2025-02-27 12:32:52,241 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=1, fusion_type='cat', adv_type='smartp', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature1_fusioncat_advsmartp_20250227123252', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 12:32:58,750 - root - INFO - Epoch 0/10 step 10/610 eta 00:05:19: loss 0.986, train {'accuracy': 0.4375, 'f1': 0.5170454545454546, 'precision': 0.6319444444444444, 'recall': 0.4375}
2025-02-27 12:33:02,761 - root - INFO - Epoch 0/10 step 20/610 eta 00:04:35: loss 0.684, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:33:06,755 - root - INFO - Epoch 0/10 step 30/610 eta 00:04:17: loss 0.623, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:33:10,773 - root - INFO - Epoch 0/10 step 40/610 eta 00:04:07: loss 0.432, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:33:14,759 - root - INFO - Epoch 0/10 step 50/610 eta 00:03:58: loss 0.692, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:33:18,739 - root - INFO - Epoch 0/10 step 60/610 eta 00:03:52: loss 0.474, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:33:57,789 - root - INFO - Epoch 0 step 61: loss 0.628, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:34:01,976 - root - INFO - Epoch 1/10 step 70/610 eta 00:08:48: loss 0.560, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:34:05,974 - root - INFO - Epoch 1/10 step 80/610 eta 00:08:00: loss 0.650, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:34:10,010 - root - INFO - Epoch 1/10 step 90/610 eta 00:07:22: loss 0.387, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:34:14,031 - root - INFO - Epoch 1/10 step 100/610 eta 00:06:51: loss 0.392, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:34:18,089 - root - INFO - Epoch 1/10 step 110/610 eta 00:06:24: loss 0.440, train {'accuracy': 0.75, 'f1': 0.720108695652174, 'precision': 0.6927083333333333, 'recall': 0.75}
2025-02-27 12:34:22,124 - root - INFO - Epoch 1/10 step 120/610 eta 00:06:02: loss 0.424, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:35:01,603 - root - INFO - Epoch 1 step 122: loss 0.438, val {'accuracy': 0.82, 'f1': 0.7857, 'precision': 0.8001, 'recall': 0.82}
2025-02-27 12:35:05,595 - root - INFO - Epoch 2/10 step 130/610 eta 00:08:08: loss 0.165, train {'accuracy': 0.9375, 'f1': 0.9073275862068966, 'precision': 0.8791666666666667, 'recall': 0.9375}
2025-02-27 12:35:09,657 - root - INFO - Epoch 2/10 step 140/610 eta 00:07:37: loss 0.535, train {'accuracy': 0.75, 'f1': 0.7903846153846155, 'precision': 0.8437499999999999, 'recall': 0.75}
2025-02-27 12:35:13,677 - root - INFO - Epoch 2/10 step 150/610 eta 00:07:10: loss 0.353, train {'accuracy': 0.9375, 'f1': 0.9343944099378882, 'precision': 0.9427083333333333, 'recall': 0.9375}
2025-02-27 12:35:17,662 - root - INFO - Epoch 2/10 step 160/610 eta 00:06:45: loss 0.477, train {'accuracy': 0.8125, 'f1': 0.8005681818181818, 'precision': 0.8303571428571428, 'recall': 0.8125}
2025-02-27 12:35:21,639 - root - INFO - Epoch 2/10 step 170/610 eta 00:06:23: loss 0.336, train {'accuracy': 0.875, 'f1': 0.8482142857142857, 'precision': 0.8916666666666667, 'recall': 0.875}
2025-02-27 12:35:25,619 - root - INFO - Epoch 2/10 step 180/610 eta 00:06:03: loss 0.621, train {'accuracy': 0.75, 'f1': 0.74625, 'precision': 0.765625, 'recall': 0.75}
2025-02-27 12:36:05,095 - root - INFO - Epoch 2 step 183: loss 0.353, val {'accuracy': 0.8529, 'f1': 0.8492, 'precision': 0.8492, 'recall': 0.8529}
