2025-02-27 11:37:54,749 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='cat', adv_type='fgm', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusioncat_advfgm_20250227113754', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:38:03,405 - root - INFO - Epoch 0/10 step 10/610 eta 00:07:31: loss 1.066, train {'accuracy': 0.625, 'f1': 0.5625, 'precision': 0.5892857142857143, 'recall': 0.625}
2025-02-27 11:38:09,820 - root - INFO - Epoch 0/10 step 20/610 eta 00:06:51: loss 0.923, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:38:16,225 - root - INFO - Epoch 0/10 step 30/610 eta 00:06:33: loss 0.800, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:38:22,626 - root - INFO - Epoch 0/10 step 40/610 eta 00:06:21: loss 0.583, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:38:29,058 - root - INFO - Epoch 0/10 step 50/610 eta 00:06:11: loss 1.055, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 11:38:35,571 - root - INFO - Epoch 0/10 step 60/610 eta 00:06:03: loss 0.552, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:39:38,055 - root - INFO - Epoch 0 step 61: loss 0.638, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:39:44,510 - root - INFO - Epoch 1/10 step 70/610 eta 00:13:58: loss 0.709, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:39:50,867 - root - INFO - Epoch 1/10 step 80/610 eta 00:12:41: loss 0.868, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:39:57,229 - root - INFO - Epoch 1/10 step 90/610 eta 00:11:41: loss 0.621, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:40:03,778 - root - INFO - Epoch 1/10 step 100/610 eta 00:10:52: loss 0.591, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:40:10,263 - root - INFO - Epoch 1/10 step 110/610 eta 00:10:10: loss 0.504, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:40:16,619 - root - INFO - Epoch 1/10 step 120/610 eta 00:09:34: loss 0.495, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:41:19,901 - root - INFO - Epoch 1 step 122: loss 0.445, val {'accuracy': 0.7812, 'f1': 0.6863, 'precision': 0.6797, 'recall': 0.7812}
2025-02-27 11:41:25,842 - root - INFO - Epoch 2/10 step 130/610 eta 00:12:55: loss 0.259, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
