2025-02-27 12:17:05,694 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='gate', adv_type='freelb', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusiongate_advfreelb_20250227121705', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 12:17:17,290 - root - INFO - Epoch 0/10 step 10/610 eta 00:10:26: loss 0.356, train {'accuracy': 0.6875, 'f1': 0.611111111111111, 'precision': 0.5499999999999999, 'recall': 0.6875}
2025-02-27 12:17:26,761 - root - INFO - Epoch 0/10 step 20/610 eta 00:09:47: loss 0.337, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:17:36,243 - root - INFO - Epoch 0/10 step 30/610 eta 00:09:28: loss 0.269, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:17:45,718 - root - INFO - Epoch 0/10 step 40/610 eta 00:09:13: loss 0.245, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:17:55,215 - root - INFO - Epoch 0/10 step 50/610 eta 00:09:01: loss 0.242, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:18:04,688 - root - INFO - Epoch 0/10 step 60/610 eta 00:08:50: loss 0.165, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:19:06,930 - root - INFO - Epoch 0 step 61: loss 0.662, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:19:16,071 - root - INFO - Epoch 1/10 step 70/610 eta 00:16:36: loss 0.183, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:19:25,645 - root - INFO - Epoch 1/10 step 80/610 eta 00:15:19: loss 0.336, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 12:19:35,189 - root - INFO - Epoch 1/10 step 90/610 eta 00:14:17: loss 0.201, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:19:44,668 - root - INFO - Epoch 1/10 step 100/610 eta 00:13:24: loss 0.267, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 12:19:54,177 - root - INFO - Epoch 1/10 step 110/610 eta 00:12:40: loss 0.250, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:20:03,706 - root - INFO - Epoch 1/10 step 120/610 eta 00:12:02: loss 0.202, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:21:07,258 - root - INFO - Epoch 1 step 122: loss 0.651, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:21:15,026 - root - INFO - Epoch 2/10 step 130/610 eta 00:15:16: loss 0.283, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:21:24,531 - root - INFO - Epoch 2/10 step 140/610 eta 00:14:25: loss 0.154, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:21:34,022 - root - INFO - Epoch 2/10 step 150/610 eta 00:13:39: loss 0.192, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
