2025-02-27 11:12:37,276 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='gate', adv_type='none', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusiongate_advnone_20250227111237', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:12:42,862 - root - INFO - Epoch 0/10 step 10/610 eta 00:04:24: loss 1.082, train {'accuracy': 0.625, 'f1': 0.576923076923077, 'precision': 0.5357142857142857, 'recall': 0.625}
2025-02-27 11:12:46,244 - root - INFO - Epoch 0/10 step 20/610 eta 00:03:49: loss 1.027, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:12:49,579 - root - INFO - Epoch 0/10 step 30/610 eta 00:03:35: loss 0.884, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:12:52,876 - root - INFO - Epoch 0/10 step 40/610 eta 00:03:25: loss 0.762, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:12:56,209 - root - INFO - Epoch 0/10 step 50/610 eta 00:03:18: loss 0.692, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:12:59,508 - root - INFO - Epoch 0/10 step 60/610 eta 00:03:12: loss 0.538, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:14:01,582 - root - INFO - Epoch 0 step 61: loss 0.678, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:14:05,340 - root - INFO - Epoch 1/10 step 70/610 eta 00:11:10: loss 0.551, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:14:08,676 - root - INFO - Epoch 1/10 step 80/610 eta 00:09:57: loss 1.017, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 11:14:11,979 - root - INFO - Epoch 1/10 step 90/610 eta 00:09:00: loss 0.603, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:14:15,280 - root - INFO - Epoch 1/10 step 100/610 eta 00:08:13: loss 0.858, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 11:14:18,582 - root - INFO - Epoch 1/10 step 110/610 eta 00:07:35: loss 0.716, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:14:21,877 - root - INFO - Epoch 1/10 step 120/610 eta 00:07:02: loss 0.641, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:15:24,021 - root - INFO - Epoch 1 step 122: loss 0.662, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
