2025-02-27 11:48:45,925 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='gate', adv_type='pgd', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusiongate_advpgd_20250227114845', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:49:00,980 - root - INFO - Epoch 0/10 step 10/610 eta 00:13:52: loss 1.083, train {'accuracy': 0.6875, 'f1': 0.6346153846153846, 'precision': 0.5892857142857143, 'recall': 0.6875}
2025-02-27 11:49:13,795 - root - INFO - Epoch 0/10 step 20/610 eta 00:13:07: loss 1.020, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:49:26,603 - root - INFO - Epoch 0/10 step 30/610 eta 00:12:43: loss 0.857, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:49:39,512 - root - INFO - Epoch 0/10 step 40/610 eta 00:12:26: loss 0.765, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:49:52,406 - root - INFO - Epoch 0/10 step 50/610 eta 00:12:11: loss 0.689, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:50:05,193 - root - INFO - Epoch 0/10 step 60/610 eta 00:11:55: loss 0.471, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:51:08,969 - root - INFO - Epoch 0 step 61: loss 0.664, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:51:21,302 - root - INFO - Epoch 1/10 step 70/610 eta 00:19:49: loss 0.571, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:51:34,083 - root - INFO - Epoch 1/10 step 80/610 eta 00:18:26: loss 1.015, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 11:51:46,870 - root - INFO - Epoch 1/10 step 90/610 eta 00:17:18: loss 0.600, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:51:59,657 - root - INFO - Epoch 1/10 step 100/610 eta 00:16:22: loss 0.928, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 11:52:12,466 - root - INFO - Epoch 1/10 step 110/610 eta 00:15:33: loss 0.684, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:52:25,262 - root - INFO - Epoch 1/10 step 120/610 eta 00:14:50: loss 0.561, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:53:30,261 - root - INFO - Epoch 1 step 122: loss 0.556, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:53:40,760 - root - INFO - Epoch 2/10 step 130/610 eta 00:18:04: loss 0.861, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:53:53,560 - root - INFO - Epoch 2/10 step 140/610 eta 00:17:08: loss 0.425, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:54:06,721 - root - INFO - Epoch 2/10 step 150/610 eta 00:16:20: loss 0.610, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:54:19,638 - root - INFO - Epoch 2/10 step 160/610 eta 00:15:35: loss 0.526, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:54:32,444 - root - INFO - Epoch 2/10 step 170/610 eta 00:14:53: loss 0.444, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:54:45,189 - root - INFO - Epoch 2/10 step 180/610 eta 00:14:15: loss 0.578, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:55:51,445 - root - INFO - Epoch 2 step 183: loss 0.482, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:56:00,656 - root - INFO - Epoch 3/10 step 190/610 eta 00:15:58: loss 0.957, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 11:56:13,494 - root - INFO - Epoch 3/10 step 200/610 eta 00:15:15: loss 0.249, train {'accuracy': 0.9375, 'f1': 0.907258064516129, 'precision': 0.87890625, 'recall': 0.9375}
2025-02-27 11:56:26,298 - root - INFO - Epoch 3/10 step 210/610 eta 00:14:34: loss 0.474, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:56:39,044 - root - INFO - Epoch 3/10 step 220/610 eta 00:13:56: loss 0.235, train {'accuracy': 0.9375, 'f1': 0.907258064516129, 'precision': 0.87890625, 'recall': 0.9375}
2025-02-27 11:56:51,769 - root - INFO - Epoch 3/10 step 230/610 eta 00:13:20: loss 0.163, train {'accuracy': 0.9375, 'f1': 0.907258064516129, 'precision': 0.87890625, 'recall': 0.9375}
2025-02-27 11:57:04,554 - root - INFO - Epoch 3/10 step 240/610 eta 00:12:46: loss 0.443, train {'accuracy': 0.875, 'f1': 0.82, 'precision': 0.7756410256410257, 'recall': 0.875}
2025-02-27 11:58:12,216 - root - INFO - Epoch 3 step 244: loss 0.401, val {'accuracy': 0.8343, 'f1': 0.7889, 'precision': 0.8025, 'recall': 0.8343}
2025-02-27 11:58:20,832 - root - INFO - Epoch 4/10 step 250/610 eta 00:13:46: loss 0.414, train {'accuracy': 0.875, 'f1': 0.875, 'precision': 0.875, 'recall': 0.875}
2025-02-27 11:58:33,795 - root - INFO - Epoch 4/10 step 260/610 eta 00:13:09: loss 0.230, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:58:46,563 - root - INFO - Epoch 4/10 step 270/610 eta 00:12:34: loss 0.769, train {'accuracy': 0.6875, 'f1': 0.6059782608695652, 'precision': 0.5432692307692308, 'recall': 0.6875}
2025-02-27 11:58:59,377 - root - INFO - Epoch 4/10 step 280/610 eta 00:12:01: loss 0.591, train {'accuracy': 0.6875, 'f1': 0.5833333333333334, 'precision': 0.5416666666666666, 'recall': 0.6875}
2025-02-27 11:59:12,142 - root - INFO - Epoch 4/10 step 290/610 eta 00:11:29: loss 0.451, train {'accuracy': 0.9375, 'f1': 0.9282407407407407, 'precision': 0.9419642857142857, 'recall': 0.9375}
2025-02-27 11:59:24,906 - root - INFO - Epoch 4/10 step 300/610 eta 00:10:59: loss 0.323, train {'accuracy': 0.9375, 'f1': 0.936740890688259, 'precision': 0.94375, 'recall': 0.9375}
2025-02-27 12:00:33,663 - root - INFO - Epoch 4 step 305: loss 0.387, val {'accuracy': 0.8348, 'f1': 0.8155, 'precision': 0.8327, 'recall': 0.8348}
2025-02-27 12:00:40,837 - root - INFO - Epoch 5/10 step 310/610 eta 00:11:30: loss 0.259, train {'accuracy': 0.875, 'f1': 0.8448275862068966, 'precision': 0.8166666666666667, 'recall': 0.875}
