2025-02-27 12:28:57,872 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='gate', adv_type='smartp', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusiongate_advsmartp_20250227122857', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 12:29:09,292 - root - INFO - Epoch 0/10 step 10/610 eta 00:10:14: loss 1.086, train {'accuracy': 0.5, 'f1': 0.5217391304347826, 'precision': 0.5454545454545454, 'recall': 0.5}
2025-02-27 12:29:18,548 - root - INFO - Epoch 0/10 step 20/610 eta 00:09:35: loss 1.063, train {'accuracy': 0.8125, 'f1': 0.7844827586206897, 'precision': 0.7583333333333333, 'recall': 0.8125}
2025-02-27 12:29:26,598 - root - INFO - Epoch 0/10 step 30/610 eta 00:08:52: loss 1.026, train {'accuracy': 0.8125, 'f1': 0.7844827586206897, 'precision': 0.7583333333333333, 'recall': 0.8125}
2025-02-27 12:29:32,694 - root - INFO - Epoch 0/10 step 40/610 eta 00:07:59: loss 0.945, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:29:38,757 - root - INFO - Epoch 0/10 step 50/610 eta 00:07:24: loss 0.821, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:29:44,832 - root - INFO - Epoch 0/10 step 60/610 eta 00:06:59: loss 0.533, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:30:48,589 - root - INFO - Epoch 0 step 61: loss 0.667, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:30:54,839 - root - INFO - Epoch 1/10 step 70/610 eta 00:14:53: loss 0.575, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:31:00,925 - root - INFO - Epoch 1/10 step 80/610 eta 00:13:27: loss 1.017, train {'accuracy': 0.5625, 'f1': 0.40499999999999997, 'precision': 0.31640625, 'recall': 0.5625}
2025-02-27 12:31:06,965 - root - INFO - Epoch 1/10 step 90/610 eta 00:12:19: loss 0.564, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:31:13,006 - root - INFO - Epoch 1/10 step 100/610 eta 00:11:23: loss 0.850, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 12:31:19,091 - root - INFO - Epoch 1/10 step 110/610 eta 00:10:36: loss 0.580, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:31:25,164 - root - INFO - Epoch 1/10 step 120/610 eta 00:09:56: loss 0.472, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:32:29,360 - root - INFO - Epoch 1 step 122: loss 0.457, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:32:34,439 - root - INFO - Epoch 2/10 step 130/610 eta 00:13:15: loss 0.498, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:32:40,496 - root - INFO - Epoch 2/10 step 140/610 eta 00:12:23: loss 0.261, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 12:32:46,540 - root - INFO - Epoch 2/10 step 150/610 eta 00:11:37: loss 0.435, train {'accuracy': 0.875, 'f1': 0.8377976190476191, 'precision': 0.8291666666666667, 'recall': 0.875}
2025-02-27 12:32:52,712 - root - INFO - Epoch 2/10 step 160/610 eta 00:10:57: loss 0.447, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:32:58,904 - root - INFO - Epoch 2/10 step 170/610 eta 00:10:20: loss 0.307, train {'accuracy': 0.875, 'f1': 0.8449074074074073, 'precision': 0.8169642857142857, 'recall': 0.875}
2025-02-27 12:33:04,996 - root - INFO - Epoch 2/10 step 180/610 eta 00:09:47: loss 0.351, train {'accuracy': 0.75, 'f1': 0.6666666666666666, 'precision': 0.6000000000000001, 'recall': 0.75}
2025-02-27 12:34:09,649 - root - INFO - Epoch 2 step 183: loss 0.469, val {'accuracy': 0.8131, 'f1': 0.7635, 'precision': 0.771, 'recall': 0.8131}
2025-02-27 12:34:14,648 - root - INFO - Epoch 3/10 step 190/610 eta 00:11:37: loss 0.557, train {'accuracy': 0.875, 'f1': 0.8658008658008658, 'precision': 0.8958333333333334, 'recall': 0.875}
2025-02-27 12:34:20,718 - root - INFO - Epoch 3/10 step 200/610 eta 00:10:59: loss 0.120, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:34:26,769 - root - INFO - Epoch 3/10 step 210/610 eta 00:10:24: loss 0.407, train {'accuracy': 0.875, 'f1': 0.8482142857142857, 'precision': 0.8916666666666667, 'recall': 0.875}
2025-02-27 12:34:32,836 - root - INFO - Epoch 3/10 step 220/610 eta 00:09:51: loss 0.361, train {'accuracy': 0.75, 'f1': 0.8333333333333333, 'precision': 0.9375, 'recall': 0.75}
2025-02-27 12:34:38,893 - root - INFO - Epoch 3/10 step 230/610 eta 00:09:21: loss 0.139, train {'accuracy': 0.9375, 'f1': 0.9375, 'precision': 0.9375, 'recall': 0.9375}
2025-02-27 12:34:44,951 - root - INFO - Epoch 3/10 step 240/610 eta 00:08:53: loss 0.298, train {'accuracy': 0.9375, 'f1': 0.9333333333333333, 'precision': 0.9583333333333333, 'recall': 0.9375}
2025-02-27 12:35:50,715 - root - INFO - Epoch 3 step 244: loss 0.380, val {'accuracy': 0.8413, 'f1': 0.8387, 'precision': 0.8393, 'recall': 0.8413}
2025-02-27 12:35:55,136 - root - INFO - Epoch 4/10 step 250/610 eta 00:09:59: loss 0.315, train {'accuracy': 0.875, 'f1': 0.9076923076923077, 'precision': 0.9583333333333334, 'recall': 0.875}
2025-02-27 12:36:01,260 - root - INFO - Epoch 4/10 step 260/610 eta 00:09:28: loss 0.175, train {'accuracy': 0.9375, 'f1': 0.9625, 'precision': 1.0, 'recall': 0.9375}
2025-02-27 12:36:07,317 - root - INFO - Epoch 4/10 step 270/610 eta 00:08:59: loss 0.304, train {'accuracy': 0.8125, 'f1': 0.7982142857142858, 'precision': 0.796875, 'recall': 0.8125}
2025-02-27 12:36:13,375 - root - INFO - Epoch 4/10 step 280/610 eta 00:08:31: loss 0.440, train {'accuracy': 0.875, 'f1': 0.8660714285714286, 'precision': 0.8806818181818181, 'recall': 0.875}
2025-02-27 12:36:19,445 - root - INFO - Epoch 4/10 step 290/610 eta 00:08:05: loss 0.556, train {'accuracy': 0.8125, 'f1': 0.7916666666666666, 'precision': 0.78125, 'recall': 0.8125}
2025-02-27 12:36:25,503 - root - INFO - Epoch 4/10 step 300/610 eta 00:07:41: loss 0.117, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:37:31,481 - root - INFO - Epoch 4 step 305: loss 0.461, val {'accuracy': 0.8533, 'f1': 0.8429, 'precision': 0.8443, 'recall': 0.8533}
2025-02-27 12:37:35,366 - root - INFO - Epoch 5/10 step 310/610 eta 00:08:19: loss 0.046, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:37:41,515 - root - INFO - Epoch 5/10 step 320/610 eta 00:07:53: loss 0.186, train {'accuracy': 0.9375, 'f1': 0.9343944099378882, 'precision': 0.9427083333333333, 'recall': 0.9375}
2025-02-27 12:37:47,646 - root - INFO - Epoch 5/10 step 330/610 eta 00:07:28: loss 0.135, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:37:53,757 - root - INFO - Epoch 5/10 step 340/610 eta 00:07:04: loss 0.021, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:37:59,924 - root - INFO - Epoch 5/10 step 350/610 eta 00:06:41: loss 0.378, train {'accuracy': 0.875, 'f1': 0.8485576923076923, 'precision': 0.8928571428571428, 'recall': 0.875}
2025-02-27 12:38:06,055 - root - INFO - Epoch 5/10 step 360/610 eta 00:06:19: loss 0.206, train {'accuracy': 0.9375, 'f1': 0.9375, 'precision': 0.96875, 'recall': 0.9375}
2025-02-27 12:39:13,012 - root - INFO - Epoch 5 step 366: loss 0.461, val {'accuracy': 0.8583, 'f1': 0.8519, 'precision': 0.8485, 'recall': 0.8583}
2025-02-27 12:39:16,323 - root - INFO - Epoch 6/10 step 370/610 eta 00:06:40: loss 0.235, train {'accuracy': 0.875, 'f1': 0.8554166666666666, 'precision': 0.9110576923076923, 'recall': 0.875}
2025-02-27 12:39:22,514 - root - INFO - Epoch 6/10 step 380/610 eta 00:06:17: loss 0.035, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:39:28,618 - root - INFO - Epoch 6/10 step 390/610 eta 00:05:55: loss 0.130, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:39:34,685 - root - INFO - Epoch 6/10 step 400/610 eta 00:05:33: loss 0.196, train {'accuracy': 0.9375, 'f1': 0.9342857142857143, 'precision': 0.9423076923076923, 'recall': 0.9375}
2025-02-27 12:39:40,861 - root - INFO - Epoch 6/10 step 410/610 eta 00:05:13: loss 0.047, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:39:47,072 - root - INFO - Epoch 6/10 step 420/610 eta 00:04:53: loss 0.600, train {'accuracy': 0.75, 'f1': 0.7563405797101449, 'precision': 0.7755681818181818, 'recall': 0.75}
2025-02-27 12:40:54,582 - root - INFO - Epoch 6 step 427: loss 0.549, val {'accuracy': 0.8469, 'f1': 0.8323, 'precision': 0.8384, 'recall': 0.8469}
2025-02-27 12:40:54,582 - root - INFO - Early Stopping Check: No improvement for 1/3 epochs
2025-02-27 12:40:56,631 - root - INFO - Epoch 7/10 step 430/610 eta 00:05:00: loss 0.027, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:41:02,866 - root - INFO - Epoch 7/10 step 440/610 eta 00:04:39: loss 0.030, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:41:09,058 - root - INFO - Epoch 7/10 step 450/610 eta 00:04:19: loss 0.040, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:41:15,249 - root - INFO - Epoch 7/10 step 460/610 eta 00:04:00: loss 0.018, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:41:21,394 - root - INFO - Epoch 7/10 step 470/610 eta 00:03:41: loss 0.008, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:41:27,554 - root - INFO - Epoch 7/10 step 480/610 eta 00:03:22: loss 0.155, train {'accuracy': 0.9375, 'f1': 0.9423913043478261, 'precision': 0.9583333333333333, 'recall': 0.9375}
2025-02-27 12:42:35,502 - root - INFO - Epoch 7 step 488: loss 0.503, val {'accuracy': 0.8546, 'f1': 0.8506, 'precision': 0.8531, 'recall': 0.8546}
2025-02-27 12:42:35,502 - root - INFO - Early Stopping Check: No improvement for 2/3 epochs
2025-02-27 12:42:36,920 - root - INFO - Epoch 8/10 step 490/610 eta 00:03:20: loss 0.020, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:42:43,151 - root - INFO - Epoch 8/10 step 500/610 eta 00:03:01: loss 0.025, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:42:49,272 - root - INFO - Epoch 8/10 step 510/610 eta 00:02:42: loss 0.017, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:42:55,342 - root - INFO - Epoch 8/10 step 520/610 eta 00:02:24: loss 0.010, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:43:01,471 - root - INFO - Epoch 8/10 step 530/610 eta 00:02:07: loss 0.023, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:43:07,649 - root - INFO - Epoch 8/10 step 540/610 eta 00:01:50: loss 0.013, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 12:44:16,277 - root - INFO - Epoch 8 step 549: loss 0.531, val {'accuracy': 0.8555, 'f1': 0.8488, 'precision': 0.8501, 'recall': 0.8555}
2025-02-27 12:44:16,277 - root - INFO - Early Stopping Check: No improvement for 3/3 epochs
2025-02-27 12:44:16,277 - root - INFO - Stopping early at epoch 8 due to no improvement in validation F1 and increasing loss.
