2025-02-27 11:12:37,246 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='residual', adv_type='none', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusionresidual_advnone_20250227111237', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:12:42,975 - root - INFO - Epoch 0/10 step 10/610 eta 00:04:26: loss 1.071, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:12:46,298 - root - INFO - Epoch 0/10 step 20/610 eta 00:03:49: loss 1.000, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:12:49,654 - root - INFO - Epoch 0/10 step 30/610 eta 00:03:35: loss 0.766, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:12:53,038 - root - INFO - Epoch 0/10 step 40/610 eta 00:03:26: loss 0.616, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 11:12:56,390 - root - INFO - Epoch 0/10 step 50/610 eta 00:03:20: loss 0.923, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:12:59,747 - root - INFO - Epoch 0/10 step 60/610 eta 00:03:14: loss 0.446, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:14:03,159 - root - INFO - Epoch 0 step 61: loss 0.605, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:14:06,868 - root - INFO - Epoch 1/10 step 70/610 eta 00:11:21: loss 0.445, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:14:10,225 - root - INFO - Epoch 1/10 step 80/610 eta 00:10:07: loss 0.577, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:14:13,608 - root - INFO - Epoch 1/10 step 90/610 eta 00:09:09: loss 0.142, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:14:16,988 - root - INFO - Epoch 1/10 step 100/610 eta 00:08:22: loss 0.573, train {'accuracy': 0.5625, 'f1': 0.495, 'precision': 0.44196428571428575, 'recall': 0.5625}
2025-02-27 11:14:20,370 - root - INFO - Epoch 1/10 step 110/610 eta 00:07:42: loss 0.726, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:14:23,768 - root - INFO - Epoch 1/10 step 120/610 eta 00:07:09: loss 0.656, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:15:27,817 - root - INFO - Epoch 1 step 122: loss 0.441, val {'accuracy': 0.8173, 'f1': 0.7669, 'precision': 0.7765, 'recall': 0.8173}
2025-02-27 11:15:31,246 - root - INFO - Epoch 2/10 step 130/610 eta 00:10:37: loss 0.185, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:15:34,581 - root - INFO - Epoch 2/10 step 140/610 eta 00:09:51: loss 0.361, train {'accuracy': 0.8125, 'f1': 0.8389423076923077, 'precision': 0.8958333333333334, 'recall': 0.8125}
2025-02-27 11:15:37,910 - root - INFO - Epoch 2/10 step 150/610 eta 00:09:10: loss 0.382, train {'accuracy': 0.875, 'f1': 0.845, 'precision': 0.8173076923076923, 'recall': 0.875}
2025-02-27 11:15:41,228 - root - INFO - Epoch 2/10 step 160/610 eta 00:08:33: loss 0.267, train {'accuracy': 0.9375, 'f1': 0.9468390804597702, 'precision': 0.96875, 'recall': 0.9375}
2025-02-27 11:15:44,552 - root - INFO - Epoch 2/10 step 170/610 eta 00:08:01: loss 0.212, train {'accuracy': 0.9375, 'f1': 0.9283333333333332, 'precision': 0.9423076923076923, 'recall': 0.9375}
