2025-02-27 11:53:09,683 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='residual', adv_type='pgd', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusionresidual_advpgd_20250227115309', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:53:25,048 - root - INFO - Epoch 0/10 step 10/610 eta 00:14:04: loss 1.070, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:53:38,086 - root - INFO - Epoch 0/10 step 20/610 eta 00:13:19: loss 0.999, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:53:51,004 - root - INFO - Epoch 0/10 step 30/610 eta 00:12:53: loss 0.751, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:54:04,435 - root - INFO - Epoch 0/10 step 40/610 eta 00:12:41: loss 0.700, train {'accuracy': 0.75, 'f1': 0.6964285714285714, 'precision': 0.65, 'recall': 0.75}
2025-02-27 11:54:17,463 - root - INFO - Epoch 0/10 step 50/610 eta 00:12:24: loss 0.828, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:54:30,559 - root - INFO - Epoch 0/10 step 60/610 eta 00:12:09: loss 0.508, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:55:35,424 - root - INFO - Epoch 0 step 61: loss 0.593, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 11:55:47,812 - root - INFO - Epoch 1/10 step 70/610 eta 00:20:09: loss 0.539, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:56:00,761 - root - INFO - Epoch 1/10 step 80/610 eta 00:18:44: loss 0.601, train {'accuracy': 0.875, 'f1': 0.8166666666666667, 'precision': 0.765625, 'recall': 0.875}
2025-02-27 11:56:13,768 - root - INFO - Epoch 1/10 step 90/610 eta 00:17:36: loss 0.145, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:56:26,775 - root - INFO - Epoch 1/10 step 100/610 eta 00:16:38: loss 0.566, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:56:39,876 - root - INFO - Epoch 1/10 step 110/610 eta 00:15:49: loss 0.799, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:56:52,909 - root - INFO - Epoch 1/10 step 120/610 eta 00:15:06: loss 0.593, train {'accuracy': 0.8125, 'f1': 0.73, 'precision': 0.6651785714285714, 'recall': 0.8125}
2025-02-27 11:57:58,651 - root - INFO - Epoch 1 step 122: loss 0.439, val {'accuracy': 0.8229, 'f1': 0.7542, 'precision': 0.6989, 'recall': 0.8229}
2025-02-27 11:58:09,853 - root - INFO - Epoch 2/10 step 130/610 eta 00:18:23: loss 0.148, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:58:22,992 - root - INFO - Epoch 2/10 step 140/610 eta 00:17:27: loss 0.380, train {'accuracy': 0.8125, 'f1': 0.8194444444444443, 'precision': 0.8389423076923077, 'recall': 0.8125}
