2025-02-27 12:12:29,073 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance19', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=16, val_batch_size=16, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=2, fusion_type='weighted', adv_type='freelb', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance19/models--nghuyong--ernie-3.0-base-zh/feature2_fusionweighted_advfreelb_20250227121229', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 12:12:41,304 - root - INFO - Epoch 0/10 step 10/610 eta 00:11:06: loss 0.360, train {'accuracy': 0.625, 'f1': 0.576923076923077, 'precision': 0.5357142857142857, 'recall': 0.625}
2025-02-27 12:12:51,016 - root - INFO - Epoch 0/10 step 20/610 eta 00:10:14: loss 0.339, train {'accuracy': 0.8125, 'f1': 0.7844827586206897, 'precision': 0.7583333333333333, 'recall': 0.8125}
2025-02-27 12:13:00,741 - root - INFO - Epoch 0/10 step 30/610 eta 00:09:50: loss 0.317, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 12:13:10,470 - root - INFO - Epoch 0/10 step 40/610 eta 00:09:33: loss 0.228, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:13:20,241 - root - INFO - Epoch 0/10 step 50/610 eta 00:09:20: loss 0.103, train {'accuracy': 0.9375, 'f1': 0.907258064516129, 'precision': 0.87890625, 'recall': 0.9375}
2025-02-27 12:13:29,884 - root - INFO - Epoch 0/10 step 60/610 eta 00:09:07: loss 0.289, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 12:14:33,296 - root - INFO - Epoch 0 step 61: loss 0.709, val {'accuracy': 0.7801, 'f1': 0.6837, 'precision': 0.6085, 'recall': 0.7801}
2025-02-27 12:14:42,605 - root - INFO - Epoch 1/10 step 70/610 eta 00:17:01: loss 0.231, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:14:52,252 - root - INFO - Epoch 1/10 step 80/610 eta 00:15:41: loss 0.219, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:15:01,884 - root - INFO - Epoch 1/10 step 90/610 eta 00:14:36: loss 0.193, train {'accuracy': 0.8125, 'f1': 0.728448275862069, 'precision': 0.66015625, 'recall': 0.8125}
2025-02-27 12:15:11,536 - root - INFO - Epoch 1/10 step 100/610 eta 00:13:42: loss 0.246, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 12:15:21,293 - root - INFO - Epoch 1/10 step 110/610 eta 00:12:57: loss 0.124, train {'accuracy': 0.9375, 'f1': 0.907258064516129, 'precision': 0.87890625, 'recall': 0.9375}
