2025-02-27 11:25:01,023 - root - INFO - Training/evaluation config: Namespace(seed=2021, data_path='./data/ctrip_20250224.csv', base_url='data/qunaer_20250226_balance82', num_class=3, val_ratio=0.2, prefetch=12, num_workers=6, train_batch_size=32, val_batch_size=32, word2Vec='./word2vec/sgns.weibo.bigram-char.bz2', word2Vec_dim=300, stopWords='./stopword/hit_stopwords.txt', bert_dir='hf_hub/models--nghuyong--ernie-3.0-base-zh', bert_dim=768, bert_max_length=512, bert_padding='max_length', lstm_input_size=768, lstm_hidden_size=256, lstm_num_layers=2, lstm_dropout=0.0, feature_type=1, fusion_type='cat', adv_type='none', fgm_adv_epsilon=1.0, pgd_adv_epsilon=1.0, pgd_adv_alpha=0.3, pgd_adv_K=3, freelb_adv_K=3, freelb_adv_lr=0.01, freelb_adv_init_mag=0.02, smartp_adv_alpha=1.0, save_path='save/qunaer_20250226_balance82/models--nghuyong--ernie-3.0-base-zh/feature1_fusioncat_advnone_20250227112501', best_score=0.5, max_epochs=10, max_steps=50000, warmup_steps=200, print_steps=10, weight_decay=0.001, adam_eps=1e-06, adam_lr=5e-05, dropout=0.1, smoothing=0.0, patience=3, device='cuda', n_gpu=1)
2025-02-27 11:25:07,043 - root - INFO - Epoch 0/10 step 10/2470 eta 00:20:38: loss 1.063, train {'accuracy': 0.5, 'f1': 0.6170212765957447, 'precision': 0.8055555555555555, 'recall': 0.5}
2025-02-27 11:25:11,164 - root - INFO - Epoch 0/10 step 20/2470 eta 00:18:41: loss 0.934, train {'accuracy': 0.75, 'f1': 0.7090909090909091, 'precision': 0.6724137931034483, 'recall': 0.75}
2025-02-27 11:25:15,292 - root - INFO - Epoch 0/10 step 30/2470 eta 00:18:00: loss 0.952, train {'accuracy': 0.625, 'f1': 0.4807692307692308, 'precision': 0.390625, 'recall': 0.625}
2025-02-27 11:25:19,437 - root - INFO - Epoch 0/10 step 40/2470 eta 00:17:38: loss 0.641, train {'accuracy': 0.90625, 'f1': 0.8616803278688524, 'precision': 0.8212890625, 'recall': 0.90625}
2025-02-27 11:25:23,613 - root - INFO - Epoch 0/10 step 50/2470 eta 00:17:25: loss 0.762, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:25:27,772 - root - INFO - Epoch 0/10 step 60/2470 eta 00:17:14: loss 0.599, train {'accuracy': 0.78125, 'f1': 0.6853070175438596, 'precision': 0.6103515625, 'recall': 0.78125}
2025-02-27 11:25:31,939 - root - INFO - Epoch 0/10 step 70/2470 eta 00:17:06: loss 0.744, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:25:36,126 - root - INFO - Epoch 0/10 step 80/2470 eta 00:16:59: loss 0.819, train {'accuracy': 0.71875, 'f1': 0.6011363636363636, 'precision': 0.5166015625, 'recall': 0.71875}
2025-02-27 11:25:40,297 - root - INFO - Epoch 0/10 step 90/2470 eta 00:16:52: loss 0.790, train {'accuracy': 0.75, 'f1': 0.6428571428571428, 'precision': 0.5625, 'recall': 0.75}
2025-02-27 11:25:44,501 - root - INFO - Epoch 0/10 step 100/2470 eta 00:16:47: loss 0.773, train {'accuracy': 0.71875, 'f1': 0.6011363636363636, 'precision': 0.5166015625, 'recall': 0.71875}
2025-02-27 11:25:48,733 - root - INFO - Epoch 0/10 step 110/2470 eta 00:16:42: loss 0.500, train {'accuracy': 0.84375, 'f1': 0.7722457627118644, 'precision': 0.7119140625, 'recall': 0.84375}
2025-02-27 11:25:52,940 - root - INFO - Epoch 0/10 step 120/2470 eta 00:16:37: loss 0.646, train {'accuracy': 0.6875, 'f1': 0.5601851851851851, 'precision': 0.47265625, 'recall': 0.6875}
2025-02-27 11:25:57,153 - root - INFO - Epoch 0/10 step 130/2470 eta 00:16:32: loss 0.657, train {'accuracy': 0.6875, 'f1': 0.611111111111111, 'precision': 0.5499999999999999, 'recall': 0.6875}
2025-02-27 11:26:01,366 - root - INFO - Epoch 0/10 step 140/2470 eta 00:16:27: loss 0.415, train {'accuracy': 0.78125, 'f1': 0.7658653846153847, 'precision': 0.8425611413043478, 'recall': 0.78125}
2025-02-27 11:26:05,581 - root - INFO - Epoch 0/10 step 150/2470 eta 00:16:23: loss 0.375, train {'accuracy': 0.8125, 'f1': 0.7940476190476189, 'precision': 0.8135416666666666, 'recall': 0.8125}
2025-02-27 11:26:09,793 - root - INFO - Epoch 0/10 step 160/2470 eta 00:16:18: loss 0.374, train {'accuracy': 0.875, 'f1': 0.894717261904762, 'precision': 0.921875, 'recall': 0.875}
2025-02-27 11:26:13,992 - root - INFO - Epoch 0/10 step 170/2470 eta 00:16:13: loss 0.372, train {'accuracy': 0.84375, 'f1': 0.8119212962962963, 'precision': 0.8297413793103448, 'recall': 0.84375}
2025-02-27 11:26:18,157 - root - INFO - Epoch 0/10 step 180/2470 eta 00:16:08: loss 0.429, train {'accuracy': 0.8125, 'f1': 0.7694444444444444, 'precision': 0.740301724137931, 'recall': 0.8125}
2025-02-27 11:26:22,354 - root - INFO - Epoch 0/10 step 190/2470 eta 00:16:04: loss 0.271, train {'accuracy': 0.875, 'f1': 0.8410087719298245, 'precision': 0.821875, 'recall': 0.875}
2025-02-27 11:26:26,588 - root - INFO - Epoch 0/10 step 200/2470 eta 00:15:59: loss 0.322, train {'accuracy': 0.84375, 'f1': 0.7905701754385965, 'precision': 0.7468750000000001, 'recall': 0.84375}
2025-02-27 11:26:30,808 - root - INFO - Epoch 0/10 step 210/2470 eta 00:15:55: loss 0.456, train {'accuracy': 0.875, 'f1': 0.8740530303030303, 'precision': 0.8854166666666666, 'recall': 0.875}
2025-02-27 11:26:34,965 - root - INFO - Epoch 0/10 step 220/2470 eta 00:15:50: loss 0.403, train {'accuracy': 0.8125, 'f1': 0.7943840579710144, 'precision': 0.8203125, 'recall': 0.8125}
2025-02-27 11:26:39,087 - root - INFO - Epoch 0/10 step 230/2470 eta 00:15:45: loss 0.385, train {'accuracy': 0.8125, 'f1': 0.7946691176470587, 'precision': 0.8227163461538461, 'recall': 0.8125}
2025-02-27 11:26:43,208 - root - INFO - Epoch 0/10 step 240/2470 eta 00:15:40: loss 0.301, train {'accuracy': 0.84375, 'f1': 0.8077175052410902, 'precision': 0.8706896551724138, 'recall': 0.84375}
2025-02-27 11:26:54,150 - root - INFO - Epoch 0 step 247: loss 0.316, val {'accuracy': 0.8756, 'f1': 0.8694, 'precision': 0.8672, 'recall': 0.8756}
2025-02-27 11:26:56,059 - root - INFO - Epoch 1/10 step 250/2470 eta 00:16:52: loss 0.380, train {'accuracy': 0.78125, 'f1': 0.7108173076923077, 'precision': 0.6637931034482759, 'recall': 0.78125}
2025-02-27 11:27:00,208 - root - INFO - Epoch 1/10 step 260/2470 eta 00:16:44: loss 0.297, train {'accuracy': 0.90625, 'f1': 0.8972074468085106, 'precision': 0.8919270833333334, 'recall': 0.90625}
2025-02-27 11:27:04,318 - root - INFO - Epoch 1/10 step 270/2470 eta 00:16:36: loss 0.190, train {'accuracy': 1.0, 'f1': 1.0, 'precision': 1.0, 'recall': 1.0}
2025-02-27 11:27:08,443 - root - INFO - Epoch 1/10 step 280/2470 eta 00:16:28: loss 0.278, train {'accuracy': 0.84375, 'f1': 0.827020202020202, 'precision': 0.8347146739130434, 'recall': 0.84375}
2025-02-27 11:27:12,571 - root - INFO - Epoch 1/10 step 290/2470 eta 00:16:21: loss 0.441, train {'accuracy': 0.8125, 'f1': 0.8125, 'precision': 0.8125, 'recall': 0.8125}
2025-02-27 11:27:16,719 - root - INFO - Epoch 1/10 step 300/2470 eta 00:16:14: loss 0.223, train {'accuracy': 0.875, 'f1': 0.8523148148148147, 'precision': 0.8921130952380952, 'recall': 0.875}
2025-02-27 11:27:20,899 - root - INFO - Epoch 1/10 step 310/2470 eta 00:16:07: loss 0.244, train {'accuracy': 0.9375, 'f1': 0.9424135220125787, 'precision': 0.953125, 'recall': 0.9375}
2025-02-27 11:27:25,071 - root - INFO - Epoch 1/10 step 320/2470 eta 00:16:01: loss 0.405, train {'accuracy': 0.8125, 'f1': 0.7544642857142857, 'precision': 0.7041666666666667, 'recall': 0.8125}
2025-02-27 11:27:29,249 - root - INFO - Epoch 1/10 step 330/2470 eta 00:15:54: loss 0.310, train {'accuracy': 0.875, 'f1': 0.864158163265306, 'precision': 0.9325, 'recall': 0.875}
2025-02-27 11:27:33,441 - root - INFO - Epoch 1/10 step 340/2470 eta 00:15:48: loss 0.265, train {'accuracy': 0.9375, 'f1': 0.9229910714285714, 'precision': 0.9418103448275862, 'recall': 0.9375}
2025-02-27 11:27:37,625 - root - INFO - Epoch 1/10 step 350/2470 eta 00:15:42: loss 0.242, train {'accuracy': 0.9375, 'f1': 0.942548076923077, 'precision': 0.9583333333333334, 'recall': 0.9375}
2025-02-27 11:27:41,814 - root - INFO - Epoch 1/10 step 360/2470 eta 00:15:36: loss 0.322, train {'accuracy': 0.90625, 'f1': 0.9155092592592592, 'precision': 0.9375, 'recall': 0.90625}
2025-02-27 11:27:45,995 - root - INFO - Epoch 1/10 step 370/2470 eta 00:15:30: loss 0.251, train {'accuracy': 0.90625, 'f1': 0.8864942528735632, 'precision': 0.8791666666666667, 'recall': 0.90625}
2025-02-27 11:27:50,160 - root - INFO - Epoch 1/10 step 380/2470 eta 00:15:24: loss 0.306, train {'accuracy': 0.84375, 'f1': 0.8456681585677749, 'precision': 0.8835227272727273, 'recall': 0.84375}
2025-02-27 11:27:54,310 - root - INFO - Epoch 1/10 step 390/2470 eta 00:15:18: loss 0.570, train {'accuracy': 0.78125, 'f1': 0.7201749213836478, 'precision': 0.8322916666666667, 'recall': 0.78125}
2025-02-27 11:27:58,486 - root - INFO - Epoch 1/10 step 400/2470 eta 00:15:13: loss 0.482, train {'accuracy': 0.71875, 'f1': 0.6575028232636928, 'precision': 0.690625, 'recall': 0.71875}
2025-02-27 11:28:02,661 - root - INFO - Epoch 1/10 step 410/2470 eta 00:15:07: loss 0.317, train {'accuracy': 0.84375, 'f1': 0.8362418831168832, 'precision': 0.8387681159420289, 'recall': 0.84375}
2025-02-27 11:28:06,882 - root - INFO - Epoch 1/10 step 420/2470 eta 00:15:02: loss 0.257, train {'accuracy': 0.9375, 'f1': 0.9221491228070176, 'precision': 0.9073275862068966, 'recall': 0.9375}
2025-02-27 11:28:11,065 - root - INFO - Epoch 1/10 step 430/2470 eta 00:14:56: loss 0.514, train {'accuracy': 0.8125, 'f1': 0.8143939393939394, 'precision': 0.828125, 'recall': 0.8125}
2025-02-27 11:28:15,196 - root - INFO - Epoch 1/10 step 440/2470 eta 00:14:51: loss 0.291, train {'accuracy': 0.84375, 'f1': 0.8275157232704403, 'precision': 0.8263888888888888, 'recall': 0.84375}
2025-02-27 11:28:19,306 - root - INFO - Epoch 1/10 step 450/2470 eta 00:14:45: loss 0.264, train {'accuracy': 0.875, 'f1': 0.8962710084033613, 'precision': 0.975, 'recall': 0.875}
2025-02-27 11:28:23,450 - root - INFO - Epoch 1/10 step 460/2470 eta 00:14:40: loss 0.153, train {'accuracy': 0.96875, 'f1': 0.9638157894736842, 'precision': 0.9698275862068966, 'recall': 0.96875}
2025-02-27 11:28:27,573 - root - INFO - Epoch 1/10 step 470/2470 eta 00:14:34: loss 0.287, train {'accuracy': 0.84375, 'f1': 0.8498956400742115, 'precision': 0.8580729166666667, 'recall': 0.84375}
2025-02-27 11:28:31,700 - root - INFO - Epoch 1/10 step 480/2470 eta 00:14:29: loss 0.514, train {'accuracy': 0.78125, 'f1': 0.7701923076923076, 'precision': 0.78515625, 'recall': 0.78125}
2025-02-27 11:28:35,819 - root - INFO - Epoch 1/10 step 490/2470 eta 00:14:23: loss 0.287, train {'accuracy': 0.90625, 'f1': 0.8617584745762712, 'precision': 0.8215725806451613, 'recall': 0.90625}
2025-02-27 11:28:45,548 - root - INFO - Epoch 1 step 494: loss 0.330, val {'accuracy': 0.865, 'f1': 0.8696, 'precision': 0.876, 'recall': 0.865}
2025-02-27 11:28:48,746 - root - INFO - Epoch 2/10 step 500/2470 eta 00:14:53: loss 0.173, train {'accuracy': 0.9375, 'f1': 0.9281994047619048, 'precision': 0.9418103448275862, 'recall': 0.9375}
2025-02-27 11:28:52,916 - root - INFO - Epoch 2/10 step 510/2470 eta 00:14:47: loss 0.236, train {'accuracy': 0.875, 'f1': 0.8593749999999999, 'precision': 0.8942307692307693, 'recall': 0.875}
2025-02-27 11:28:57,056 - root - INFO - Epoch 2/10 step 520/2470 eta 00:14:41: loss 0.201, train {'accuracy': 0.9375, 'f1': 0.9325980392156862, 'precision': 0.9387019230769231, 'recall': 0.9375}
2025-02-27 11:29:01,193 - root - INFO - Epoch 2/10 step 530/2470 eta 00:14:35: loss 0.214, train {'accuracy': 0.9375, 'f1': 0.9375, 'precision': 0.9375, 'recall': 0.9375}
2025-02-27 11:29:05,342 - root - INFO - Epoch 2/10 step 540/2470 eta 00:14:29: loss 0.339, train {'accuracy': 0.875, 'f1': 0.875, 'precision': 0.875, 'recall': 0.875}
2025-02-27 11:29:09,459 - root - INFO - Epoch 2/10 step 550/2470 eta 00:14:23: loss 0.232, train {'accuracy': 0.90625, 'f1': 0.9046875, 'precision': 0.9270833333333333, 'recall': 0.90625}
2025-02-27 11:29:13,578 - root - INFO - Epoch 2/10 step 560/2470 eta 00:14:18: loss 0.276, train {'accuracy': 0.875, 'f1': 0.8559948979591837, 'precision': 0.8962339743589745, 'recall': 0.875}
